Electricity Pricing [£/kWh],6h Prediction Electricity Pricing [£/kWh],12h Prediction Electricity Pricing [£/kWh],24h Prediction Electricity Pricing [£/kWh]
0.3481,0.35,0.3163,0.35
0.3497,0.3447,0.2878,0.35
0.35,0.3406,0.2955,0.3157
0.35,0.3311,0.3032,0.35
0.35,0.35,0.3109,0.35
0.35,0.35,0.2933,0.35
0.35,0.3163,0.3023,0.3458
0.3447,0.2878,0.3013,0.3152
0.3406,0.2955,0.3135,0.3212
0.3311,0.3032,0.35,0.2714
0.35,0.3109,0.35,0.2965
0.35,0.2933,0.35,0.2878
0.3163,0.3023,0.35,0.2933
0.2878,0.3013,0.35,0.2813
0.2955,0.3135,0.3157,0.276
0.3032,0.35,0.35,0.2864
0.3109,0.35,0.35,0.3285
0.2933,0.35,0.35,0.35
0.3023,0.35,0.3458,0.35
0.3013,0.35,0.3152,0.35
0.3135,0.3157,0.3212,0.35
0.35,0.35,0.2714,0.35
0.35,0.35,0.2965,0.35
0.35,0.35,0.2878,0.35
0.35,0.3458,0.2933,0.35
0.35,0.3152,0.2813,0.35
0.3157,0.3212,0.276,0.35
0.35,0.2714,0.2864,0.35
0.35,0.2965,0.3285,0.35
0.35,0.2878,0.35,0.35
0.3458,0.2933,0.35,0.35
0.3152,0.2813,0.35,0.35
0.3212,0.276,0.35,0.3396
0.2714,0.2864,0.35,0.3053
0.2965,0.3285,0.35,0.3282
0.2878,0.35,0.35,0.3337
0.2933,0.35,0.35,0.3324
0.2813,0.35,0.35,0.2944
0.276,0.35,0.35,0.2921
0.2864,0.35,0.35,0.3188
0.3285,0.35,0.35,0.3426
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.3463
0.35,0.35,0.35,0.35
0.35,0.35,0.3396,0.35
0.35,0.35,0.3053,0.35
0.35,0.35,0.3282,0.35
0.35,0.35,0.3337,0.35
0.35,0.35,0.3324,0.3418
0.35,0.35,0.2944,0.3295
0.35,0.3396,0.2921,0.3382
0.35,0.3053,0.3188,0.35
0.35,0.3282,0.3426,0.35
0.35,0.3337,0.35,0.35
0.35,0.3324,0.3463,0.3481
0.35,0.2944,0.35,0.35
0.3396,0.2921,0.35,0.3475
0.3053,0.3188,0.35,0.3294
0.3282,0.3426,0.35,0.35
0.3337,0.35,0.35,0.35
0.3324,0.3463,0.3418,0.3424
0.2944,0.35,0.3295,0.3415
0.2921,0.35,0.3382,0.3382
0.3188,0.35,0.35,0.3418
0.3426,0.35,0.35,0.3481
0.35,0.35,0.35,0.35
0.3463,0.3418,0.3481,0.35
0.35,0.3295,0.35,0.35
0.35,0.3382,0.3475,0.35
0.35,0.35,0.3294,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.3418,0.3481,0.3424,0.35
0.3295,0.35,0.3415,0.35
0.3382,0.3475,0.3382,0.35
0.35,0.3294,0.3418,0.35
0.35,0.35,0.3481,0.35
0.35,0.35,0.35,0.35
0.3481,0.3424,0.35,0.35
0.35,0.3415,0.35,0.35
0.3475,0.3382,0.35,0.35
0.3294,0.3418,0.35,0.35
0.35,0.3481,0.35,0.35
0.35,0.35,0.35,0.3437
0.3424,0.35,0.35,0.3369
0.3415,0.35,0.35,0.3199
0.3382,0.35,0.35,0.31
0.3418,0.35,0.35,0.3388
0.3481,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.3437,0.35
0.35,0.35,0.3369,0.35
0.35,0.35,0.3199,0.35
0.35,0.35,0.31,0.35
0.35,0.35,0.3388,0.35
0.35,0.35,0.35,0.35
0.35,0.3437,0.35,0.35
0.35,0.3369,0.35,0.35
0.35,0.3199,0.35,0.35
0.35,0.31,0.35,0.35
0.35,0.3388,0.35,0.35
0.35,0.35,0.35,0.35
0.3437,0.35,0.35,0.35
0.3369,0.35,0.35,0.3355
0.3199,0.35,0.35,0.3351
0.31,0.35,0.35,0.312
0.3388,0.35,0.35,0.3153
0.35,0.35,0.35,0.3477
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.3355,0.35
0.35,0.35,0.3351,0.35
0.35,0.35,0.312,0.35
0.35,0.35,0.3153,0.35
0.35,0.35,0.3477,0.35
0.35,0.35,0.35,0.35
0.35,0.3355,0.35,0.35
0.35,0.3351,0.35,0.35
0.35,0.312,0.35,0.35
0.35,0.3153,0.35,0.35
0.35,0.3477,0.35,0.35
0.35,0.35,0.35,0.35
0.3355,0.35,0.35,0.35
0.3351,0.35,0.35,0.3463
0.312,0.35,0.35,0.3401
0.3153,0.35,0.35,0.3228
0.3477,0.35,0.35,0.3152
0.35,0.35,0.35,0.3355
0.35,0.35,0.35,0.3467
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.3463,0.35
0.35,0.35,0.3401,0.35
0.35,0.35,0.3228,0.35
0.35,0.35,0.3152,0.35
0.35,0.35,0.3355,0.35
0.35,0.35,0.3467,0.35
0.35,0.3463,0.35,0.3426
0.35,0.3401,0.35,0.3481
0.35,0.3228,0.35,0.3304
0.35,0.3152,0.35,0.35
0.35,0.3355,0.35,0.35
0.35,0.3467,0.35,0.3426
0.3463,0.35,0.35,0.3382
0.3401,0.35,0.35,0.287
0.3228,0.35,0.35,0.2602
0.3152,0.35,0.35,0.2786
0.3355,0.35,0.35,0.3382
0.3467,0.35,0.35,0.3245
0.35,0.35,0.3426,0.35
0.35,0.35,0.3481,0.35
0.35,0.35,0.3304,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.3464
0.35,0.35,0.3426,0.35
0.35,0.3426,0.3382,0.35
0.35,0.3481,0.287,0.35
0.35,0.3304,0.2602,0.35
0.35,0.35,0.2786,0.35
0.35,0.35,0.3382,0.35
0.35,0.3426,0.3245,0.35
0.3426,0.3382,0.35,0.35
0.3481,0.287,0.35,0.35
0.3304,0.2602,0.35,0.3415
0.35,0.2786,0.35,0.3348
0.35,0.3382,0.3464,0.3208
0.3426,0.3245,0.35,0.3217
0.3382,0.35,0.35,0.3241
0.287,0.35,0.35,0.339
0.2602,0.35,0.35,0.35
0.2786,0.35,0.35,0.344
0.3382,0.3464,0.35,0.35
0.3245,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.3415,0.35
0.35,0.35,0.3348,0.35
0.3464,0.35,0.3208,0.35
0.35,0.35,0.3217,0.35
0.35,0.35,0.3241,0.35
0.35,0.35,0.339,0.35
0.35,0.3415,0.35,0.35
0.35,0.3348,0.344,0.35
0.35,0.3208,0.35,0.35
0.35,0.3217,0.35,0.35
0.35,0.3241,0.35,0.3458
0.35,0.339,0.35,0.3382
0.3415,0.35,0.35,0.3285
0.3348,0.344,0.35,0.3183
0.3208,0.35,0.35,0.3272
0.3217,0.35,0.35,0.3364
0.3241,0.35,0.35,0.3409
0.339,0.35,0.35,0.325
0.35,0.35,0.35,0.3352
0.344,0.35,0.35,0.3347
0.35,0.35,0.35,0.3404
0.35,0.35,0.35,0.35
0.35,0.35,0.3458,0.35
0.35,0.35,0.3382,0.35
0.35,0.35,0.3285,0.35
0.35,0.35,0.3183,0.35
0.35,0.35,0.3272,0.35
0.35,0.35,0.3364,0.35
0.35,0.3458,0.3409,0.35
0.35,0.3382,0.325,0.35
0.35,0.3285,0.3352,0.35
0.35,0.3183,0.3347,0.35
0.35,0.3272,0.3404,0.35
0.35,0.3364,0.35,0.35
0.3458,0.3409,0.35,0.35
0.3382,0.325,0.35,0.35
0.3285,0.3352,0.35,0.3417
0.3183,0.3347,0.35,0.3428
0.3272,0.3404,0.35,0.35
0.3364,0.35,0.35,0.35
0.3409,0.35,0.35,0.336
0.325,0.35,0.35,0.3324
0.3352,0.35,0.35,0.3443
0.3347,0.35,0.35,0.35
0.3404,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.3417,0.35
0.35,0.35,0.3428,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.336,0.35
0.35,0.35,0.3324,0.35
0.35,0.3417,0.3443,0.35
0.35,0.3428,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.336,0.35,0.35
0.35,0.3324,0.35,0.35
0.3417,0.3443,0.35,0.35
0.3428,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.336,0.35,0.35,0.35
0.3324,0.35,0.35,0.3348
0.3443,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.3348,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.3348,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.3348,0.35,0.35,0.3142
0.35,0.35,0.35,0.3308
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.3142,0.35
0.35,0.35,0.3308,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.3142,0.35,0.35
0.35,0.3308,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.3142,0.35,0.35,0.3403
0.3308,0.35,0.35,0.3403
0.35,0.35,0.35,0.326
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.3403,0.35
0.35,0.35,0.3403,0.35
0.35,0.35,0.326,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.3403,0.35,0.35
0.35,0.3403,0.35,0.35
0.35,0.326,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.3403,0.35,0.35,0.35
0.3403,0.35,0.35,0.35
0.326,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.3404
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.3472
0.35,0.35,0.35,0.3481
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.3404,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.3472,0.35
0.35,0.3404,0.3481,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.3472,0.35,0.35
0.3404,0.3481,0.35,0.2977
0.35,0.35,0.35,0.3326
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.3472,0.35,0.35,0.3484
0.3481,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.2977,0.35
0.35,0.35,0.3326,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.3484,0.35
0.35,0.2977,0.35,0.35
0.35,0.3326,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.3484,0.35,0.35
0.2977,0.35,0.35,0.35
0.3326,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.3079
0.3484,0.35,0.35,0.2615
0.35,0.35,0.35,0.3164
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.3079,0.35
0.35,0.35,0.2615,0.35
0.35,0.35,0.3164,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.3079,0.35,0.35
0.35,0.2615,0.35,0.35
0.35,0.3164,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.3079,0.35,0.35,0.35
0.2615,0.35,0.35,0.3239
0.3164,0.35,0.35,0.3383
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.3239,0.35
0.35,0.35,0.3383,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.3239,0.35,0.35
0.35,0.3383,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.3239,0.35,0.35,0.3018
0.3383,0.35,0.35,0.2481
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.3018,0.35
0.35,0.35,0.2481,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.3018,0.35,0.35
0.35,0.2481,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.3404
0.35,0.35,0.35,0.35
0.3018,0.35,0.35,0.3404
0.2481,0.35,0.35,0.3404
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.3404,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.3404,0.35
0.35,0.35,0.3404,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.3404,0.35,0.35
