Electricity Pricing [£/kWh],6h Prediction Electricity Pricing [£/kWh],12h Prediction Electricity Pricing [£/kWh],24h Prediction Electricity Pricing [£/kWh]
0.1896,0.1775,0.2716,0.1911
0.2161,0.1777,0.2733,0.2174
0.2029,0.179,0.2631,0.1984
0.197,0.194,0.1998,0.2
0.1913,0.2032,0.1803,0.1962
0.1796,0.2602,0.1765,0.1786
0.1775,0.2716,0.3314,0.1764
0.1777,0.2733,0.35,0.1764
0.179,0.2631,0.35,0.1654
0.194,0.1998,0.2634,0.1716
0.2032,0.1803,0.2342,0.1786
0.2602,0.1765,0.211,0.1736
0.2716,0.3314,0.1911,0.2134
0.2733,0.35,0.2174,0.2201
0.2631,0.35,0.1984,0.2337
0.1998,0.2634,0.2,0.1959
0.1803,0.2342,0.1962,0.1874
0.1765,0.211,0.1786,0.1863
0.3314,0.1911,0.1764,0.3287
0.35,0.2174,0.1764,0.35
0.35,0.1984,0.1654,0.35
0.2634,0.2,0.1716,0.2498
0.2342,0.1962,0.1786,0.1959
0.211,0.1786,0.1736,0.184
0.1911,0.1764,0.2134,0.1904
0.2174,0.1764,0.2201,0.1957
0.1984,0.1654,0.2337,0.1677
0.2,0.1716,0.1959,0.1791
0.1962,0.1786,0.1874,0.1731
0.1786,0.1736,0.1863,0.1717
0.1764,0.2134,0.3287,0.1725
0.1764,0.2201,0.35,0.1721
0.1654,0.2337,0.35,0.194
0.1716,0.1959,0.2498,0.2038
0.1786,0.1874,0.1959,0.2602
0.1736,0.1863,0.184,0.2668
0.2134,0.3287,0.1904,0.2668
0.2201,0.35,0.1957,0.2664
0.2337,0.35,0.1677,0.2657
0.1959,0.2498,0.1791,0.2403
0.1874,0.1959,0.1731,0.2095
0.1863,0.184,0.1717,0.2084
0.3287,0.1904,0.1725,0.35
0.35,0.1957,0.1721,0.35
0.35,0.1677,0.194,0.35
0.2498,0.1791,0.2038,0.2599
0.1959,0.1731,0.2602,0.2183
0.184,0.1717,0.2668,0.2071
0.1904,0.1725,0.2668,0.1896
0.1957,0.1721,0.2664,0.2061
0.1677,0.194,0.2657,0.1742
0.1791,0.2038,0.2403,0.1744
0.1731,0.2602,0.2095,0.1641
0.1717,0.2668,0.2084,0.1687
0.1725,0.2668,0.35,0.1553
0.1721,0.2664,0.35,0.1767
0.194,0.2657,0.35,0.1916
0.2038,0.2403,0.2599,0.2071
0.2602,0.2095,0.2183,0.2443
0.2668,0.2084,0.2071,0.2472
0.2668,0.35,0.1896,0.2384
0.2664,0.35,0.2061,0.2326
0.2657,0.35,0.1742,0.2172
0.2403,0.2599,0.1744,0.1902
0.2095,0.2183,0.1641,0.1797
0.2084,0.2071,0.1687,0.1765
0.35,0.1896,0.1553,0.332
0.35,0.2061,0.1767,0.3478
0.35,0.1742,0.1916,0.35
0.2599,0.1744,0.2071,0.2203
0.2183,0.1641,0.2443,0.1924
0.2071,0.1687,0.2472,0.2012
0.1896,0.1553,0.2384,0.1984
0.2061,0.1767,0.2326,0.1997
0.1742,0.1916,0.2172,0.1848
0.1744,0.2071,0.1902,0.1695
0.1641,0.2443,0.1797,0.163
0.1687,0.2472,0.1765,0.1605
0.1553,0.2384,0.332,0.1662
0.1767,0.2326,0.3478,0.1568
0.1916,0.2172,0.35,0.1791
0.2071,0.1902,0.2203,0.1874
0.2443,0.1797,0.1924,0.2284
0.2472,0.1765,0.2012,0.2249
0.2384,0.332,0.1984,0.183
0.2326,0.3478,0.1997,0.1823
0.2172,0.35,0.1848,0.1856
0.1902,0.2203,0.1695,0.1687
0.1797,0.1924,0.163,0.1569
0.1765,0.2012,0.1605,0.1577
0.332,0.1984,0.1662,0.3155
0.3478,0.1997,0.1568,0.3411
0.35,0.1848,0.1791,0.35
0.2203,0.1695,0.1874,0.22
0.1924,0.163,0.2284,0.1962
0.2012,0.1605,0.2249,0.1815
0.1984,0.1662,0.183,0.1874
0.1997,0.1568,0.1823,0.1968
0.1848,0.1791,0.1856,0.1767
0.1695,0.1874,0.1687,0.1685
0.163,0.2284,0.1569,0.1677
0.1605,0.2249,0.1577,0.1677
0.1662,0.183,0.3155,0.1639
0.1568,0.1823,0.3411,0.1674
0.1791,0.1856,0.35,0.1895
0.1874,0.1687,0.22,0.1863
0.2284,0.1569,0.1962,0.1903
0.2249,0.1577,0.1815,0.2002
0.183,0.3155,0.1874,0.212
0.1823,0.3411,0.1968,0.2067
0.1856,0.35,0.1767,0.2128
0.1687,0.22,0.1685,0.1814
0.1569,0.1962,0.1677,0.1683
0.1577,0.1815,0.1677,0.17
0.3155,0.1874,0.1639,0.3278
0.3411,0.1968,0.1674,0.338
0.35,0.1767,0.1895,0.35
0.22,0.1685,0.1863,0.2185
0.1962,0.1677,0.1903,0.1962
0.1815,0.1677,0.2002,0.1984
0.1874,0.1639,0.212,0.1918
